t_ms,x,y,z
580,-0.19257,0.30746,10.0117
590,0.45108,0.45002,9.93495
600,0.6131,0.3565,9.79828
610,0.48476,0.00867,9.66825
620,0.1959,-0.27764,9.58712
630,-0.12202,-0.4368,9.70113
640,-0.54423,-0.3335,9.78466
650,-0.70497,-0.07407,9.97976
660,-0.40631,0.20665,9.97634
670,0.28532,0.42153,9.91169
680,0.62455,0.42028,9.82485
690,0.56359,0.13282,9.66904
700,0.28207,-0.20181,9.62748
710,0.00326,-0.38237,9.68639
720,-0.4168,-0.44417,9.82579
730,-0.69529,-0.21249,9.92767
740,-0.51684,0.13241,9.99749
750,0.01944,0.34746,10.00977
760,0.4997,0.41563,9.82704
770,0.58635,0.21257,9.7368
780,0.35966,-0.0438,9.67965
790,0.13261,-0.33399,9.66314
800,-0.26714,-0.44439,9.76713
810,-0.58809,-0.31505,9.82549
820,-0.64418,0.05882,9.94744
830,-0.14413,0.28295,9.94624
840,0.43945,0.47615,9.91337
850,0.62672,0.29237,9.773
860,0.46972,0.07554,9.69952
870,0.1488,-0.24577,9.66162
880,-0.12624,-0.44197,9.71357
890,-0.53746,-0.33354,9.81925
900,-0.68082,-0.0965,9.93184
910,-0.40255,0.20023,10.01368
920,0.23988,0.41976,9.91957
930,0.63696,0.40076,9.77745
940,0.50183,0.17264,9.68742
950,0.26252,-0.16082,9.58429
960,-0.01397,-0.42114,9.64118
970,-0.39979,-0.39032,9.82455
980,-0.70049,-0.17245,9.87231
990,-0.49758,0.11815,9.99022
1000,0.03562,0.37542,9.9929
1010,0.52693,0.41189,9.89129
1020,0.55948,0.26465,9.76145
1030,0.33107,-0.06866,9.61884
1040,0.11691,-0.31324,9.64677
1050,-0.25211,-0.44492,9.74719
1060,-0.58003,-0.29936,9.82016
1070,-0.61536,0.05678,10.00577
1080,-0.13359,0.29487,9.95772
1090,0.44749,0.41181,9.94617
1100,0.59194,0.35777,9.76205
1110,0.46259,0.06256,9.70754
1120,0.22019,-0.30243,9.67891
1130,-0.14603,-0.41572,9.71024
1140,-0.51459,-0.34895,9.80142
1150,-0.68008,-0.10326,9.96448
1160,-0.33283,0.1891,9.96225
1170,0.23769,0.44972,9.91969
1180,0.57231,0.40069,9.78793
1190,0.50662,0.1588,9.67284
1200,0.25957,-0.16625,9.65006
1210,0.02183,-0.43644,9.6872
1220,-0.34672,-0.37922,9.79299
1230,-0.68091,-0.21627,9.9234
1240,-0.55759,0.12986,10.00662
1250,0.03498,0.39414,9.9971
1260,0.50094,0.4428,9.86321
1270,0.59129,0.21789,9.69933
1280,0.3367,-0.05108,9.63012
1290,0.12281,-0.36753,9.64153
1300,-0.27024,-0.47428,9.73015
1310,-0.592,-0.28216,9.8273
1320,-0.61423,0.01601,9.95205
1330,-0.19133,0.29391,9.93921
1340,0.39317,0.43749,9.93586
1350,0.6271,0.31232,9.77191
1360,0.4448,0.03742,9.62125
1370,0.17247,-0.24245,9.6724
1380,-0.10991,-0.45908,9.74519
1390,-0.52577,-0.39196,9.79979
1400,-0.69423,-0.09514,9.91126
1410,-0.34315,0.20413,9.95652
1420,0.25091,0.41022,9.90732
1430,0.61683,0.41697,9.77028
1440,0.48857,0.109,9.7139
1450,0.27081,-0.20891,9.66677
1460,0.02261,-0.36905,9.6374
1470,-0.40015,-0.44834,9.79058
1480,-0.64179,-0.21154,9.9201
1490,-0.49231,0.11698,9.98957
1500,0.01723,0.35155,9.99348
1510,0.57084,0.46178,9.8197
1520,0.57078,0.2284,9.72427
1530,0.34721,-0.0449,9.65773
1540,0.09603,-0.3146,9.67425
1550,-0.24059,-0.46108,9.77906
1560,-0.6344,-0.30516,9.89035
1570,-0.65413,-0.00249,9.99548
1580,-0.16584,0.31504,10.01675
1590,0.42671,0.44933,9.89801
1600,0.58542,0.32005,9.81291
1610,0.43093,0.07024,9.68913
1620,0.19012,-0.30056,9.62389
1630,-0.15782,-0.45745,9.73405
1640,-0.47682,-0.36561,9.84381
1650,-0.67485,-0.07573,9.94073
1660,-0.35593,0.24009,10.02943
1670,0.21264,0.39738,9.89886
1680,0.637,0.37767,9.78475
1690,0.48789,0.16979,9.68655
1700,0.27026,-0.16048,9.61898
1710,-0.00192,-0.40738,9.62987
1720,-0.38887,-0.44884,9.82755
1730,-0.71226,-0.22496,9.90007
1740,-0.50476,0.13958,9.96828
1750,0.05396,0.34621,9.95125
1760,0.52518,0.43879,9.87024
1770,0.62412,0.25876,9.7345
1780,0.34679,-0.08587,9.65165
1790,0.10673,-0.32373,9.6186
1800,-0.24814,-0.40069,9.7104
1810,-0.62951,-0.26253,9.86175
1820,-0.64728,0.01254,9.94028
1830,-0.13718,0.35094,9.99525
1840,0.45382,0.40426,9.88792
1850,0.6158,0.33786,9.75996
1860,0.45986,0.00965,9.69998
1870,0.21013,-0.29722,9.65873
1880,-0.0883,-0.45538,9.66071
1890,-0.54211,-0.35527,9.83888
1900,-0.7047,-0.11826,9.93961
1910,-0.32864,0.21867,10.01389
1920,0.24375,0.4226,9.88806
1930,0.60543,0.37246,9.82215
1940,0.49062,0.13124,9.68557
1950,0.30902,-0.14643,9.59996
1960,-0.01389,-0.38889,9.70539
1970,-0.35892,-0.38372,9.78706
1980,-0.70081,-0.20382,9.89584
1990,-0.51074,0.11061,10.02141
2000,0.00867,0.39926,9.97772
2010,0.56332,0.4466,9.90862
2020,0.599,0.20872,9.76253
2030,0.32411,-0.04266,9.62445
2040,0.06822,-0.34725,9.67013
2050,-0.23794,-0.47635,9.7282
2060,-0.59136,-0.28135,9.85328
2070,-0.67359,0.00904,10.00753
2080,-0.18585,0.31077,10.02685
2090,0.43358,0.46174,9.93756
2100,0.60815,0.30749,9.73771
2110,0.46283,0.05033,9.64417
2120,0.18076,-0.30966,9.60102
2130,-0.11779,-0.39864,9.68064
2140,-0.50672,-0.3817,9.78165
2150,-0.69822,-0.11075,9.93807
2160,-0.3997,0.20384,9.95578
2170,0.24366,0.42055,9.9664
2180,0.57498,0.4044,9.82221
2190,0.55236,0.12156,9.65473
2200,0.27193,-0.18662,9.66732
2210,-0.00555,-0.43713,9.69551
2220,-0.36847,-0.39179,9.81787
2230,-0.64105,-0.20349,9.91174
2240,-0.55147,0.11924,10.00381
2250,0.0172,0.41557,10.00658
2260,0.54603,0.4485,9.81418
2270,0.57932,0.24309,9.74542
2280,0.39588,-0.07283,9.64564
2290,0.09856,-0.3383,9.59932
2300,-0.24085,-0.43189,9.73914
2310,-0.61137,-0.25207,9.87307
2320,-0.60625,0.02076,9.97906
2330,-0.19009,0.3227,9.94463
2340,0.37783,0.4668,9.91282
2350,0.59608,0.36531,9.76549
2360,0.43893,0.06482,9.68537
2370,0.16007,-0.30235,9.6429
2380,-0.13778,-0.46788,9.66724
2390,-0.48213,-0.38059,9.78164
2400,-0.6575,-0.11104,9.98946
2410,-0.37096,0.23965,9.96939
2420,0.26083,0.39489,9.96373
2430,0.63313,0.41717,9.84679
2440,0.51191,0.14444,9.65534
2450,0.27294,-0.19188,9.65653
2460,-0.00649,-0.43839,9.70413
2470,-0.39466,-0.42239,9.73753
2480,-0.66206,-0.17999,9.95505
2490,-0.52288,0.14927,10.00551
2500,0.02659,0.35242,9.93541
2510,0.5369,0.39135,9.88265
2520,0.56924,0.21127,9.77192
2530,0.38697,-0.07553,9.61147
2540,0.1124,-0.3368,9.59877
2550,-0.21823,-0.46298,9.76294
2560,-0.6283,-0.27057,9.90143
2570,-0.63906,0.00778,9.95311
2580,-0.20193,0.32357,10.02703
2590,0.45192,0.41438,9.86302
2600,0.61466,0.36486,9.80822
2610,0.48085,0.0535,9.68768
2620,0.14793,-0.24818,9.64526
2630,-0.12524,-0.43791,9.74013
2640,-0.53755,-0.37905,9.83438
2650,-0.65337,-0.06198,9.93367
2660,-0.33655,0.20228,10.00738
2670,0.26668,0.40158,9.96583
2680,0.61292,0.37111,9.78475
2690,0.54138,0.10398,9.64793
2700,0.28599,-0.18106,9.61218
2710,-0.0429,-0.38553,9.70557
2720,-0.39941,-0.37968,9.7958
2730,-0.65854,-0.19245,9.94209
2740,-0.50574,0.1225,9.98508
2750,0.02266,0.41702,10.00467
2760,0.50699,0.3994,9.84123
2770,0.5895,0.21817,9.71812
2780,0.36106,-0.09423,9.60338
2790,0.09847,-0.31464,9.60037
2800,-0.28192,-0.46574,9.70083
2810,-0.59739,-0.28815,9.90503
2820,-0.61124,0.03332,10.00998
2830,-0.15347,0.29822,10.03257
2840,0.41962,0.40448,9.88969
2850,0.59274,0.32833,9.77391
2860,0.43363,0.04166,9.64986
2870,0.20048,-0.24702,9.677
2880,-0.15746,-0.46553,9.65623
2890,-0.4674,-0.3975,9.84539
2900,-0.69869,-0.121,9.90574
2910,-0.35419,0.22592,10.00213
2920,0.23852,0.39342,9.94886
2930,0.58396,0.37819,9.83371
2940,0.55383,0.14749,9.73315
2950,0.23562,-0.19486,9.66229
2960,-0.04493,-0.43325,9.66
2970,-0.39913,-0.4196,9.75307
2980,-0.70136,-0.17593,9.93365
2990,-0.5511,0.15858,9.98176
3000,0.02486,0.37731,9.95971
3010,0.50532,0.40944,9.85779
3020,0.59177,0.22401,9.73982
3030,0.33094,-0.07317,9.6767
3040,0.1112,-0.35478,9.68228
3050,-0.20957,-0.42594,9.76192
3060,-0.59705,-0.27669,9.88765
3070,-0.64972,0.05193,9.9282
3080,-0.1953,0.32796,9.98232
3090,0.41673,0.43297,9.85378
3100,0.61442,0.34531,9.74736
3110,0.45734,0.05304,9.70991
3120,0.18538,-0.24833,9.62758
3130,-0.11108,-0.39698,9.733
3140,-0.49826,-0.32315,9.82052
3150,-0.69811,-0.09659,9.91518
3160,-0.3758,0.21941,9.9739
3170,0.26797,0.40522,9.88835
3180,0.60872,0.37712,9.84132
3190,0.52507,0.1064,9.65271
3200,0.27931,-0.18004,9.67817
3210,-0.01678,-0.41368,9.64401
3220,-0.3563,-0.40976,9.80142
3230,-0.68891,-0.21844,9.91834
3240,-0.53114,0.15444,9.94803
3250,0.03395,0.38924,10.00516
3260,0.5099,0.46016,9.86374
3270,0.56593,0.28005,9.68514
3280,0.35496,-0.1144,9.61887
3290,0.07737,-0.34387,9.68508
3300,-0.24018,-0.42034,9.70449
3310,-0.59421,-0.31954,9.85636
3320,-0.63176,0.0159,10.01512
3330,-0.18682,0.34079,9.949
3340,0.45433,0.4183,9.89277
3350,0.60205,0.34538,9.82095
3360,0.45323,0.00028,9.64311
3370,0.15384,-0.3036,9.66076
3380,-0.15122,-0.45786,9.72888
3390,-0.47393,-0.32085,9.78823
3400,-0.71343,-0.07695,9.90409
3410,-0.35035,0.2392,9.99622
3420,0.216,0.41175,9.95364
3430,0.60085,0.38474,9.80838
3440,0.53887,0.15155,9.74029
3450,0.27877,-0.21324,9.59834
3460,-0.01407,-0.42901,9.64986
3470,-0.33803,-0.3939,9.76687
3480,-0.63977,-0.18715,9.86522
3490,-0.52086,0.16324,9.99125
3500,0.06616,0.35501,9.96078
3510,0.51526,0.38916,9.88708
3520,0.61199,0.26746,9.76434
3530,0.35189,-0.04869,9.66247
3540,0.07559,-0.38379,9.60134
3550,-0.24352,-0.43123,9.74886
3560,-0.63786,-0.25373,9.85422
3570,-0.63932,-0.00811,9.98946
3580,-0.14386,0.33983,9.99124
3590,0.40842,0.40089,9.90145
3600,0.60631,0.30617,9.78373
3610,0.46205,0.0127,9.67601
3620,0.14673,-0.24986,9.58962
3630,-0.1472,-0.41172,9.66049
3640,-0.5272,-0.34047,9.79757
3650,-0.7259,-0.07002,9.90617
3660,-0.39633,0.22297,9.98923
3670,0.26204,0.40096,9.9701
3680,0.63339,0.35065,9.81264
3690,0.48896,0.11105,9.64725
3700,0.31254,-0.1619,9.63836
3710,0.0052,-0.38092,9.62008
3720,-0.36251,-0.39948,9.73899
3730,-0.71563,-0.22108,9.8718
3740,-0.49649,0.13893,10.00199
3750,0.02794,0.42151,10.01165
3760,0.53227,0.3881,9.8234
3770,0.55166,0.20802,9.7034
3780,0.39475,-0.10584,9.66495
3790,0.11318,-0.3661,9.61649
3800,-0.25142,-0.4298,9.7672
3810,-0.64716,-0.24772,9.89335
3820,-0.63673,0.01758,9.9468
3830,-0.15727,0.3231,10.02665
3840,0.40359,0.41455,9.94029
3850,0.62355,0.33581,9.7303
3860,0.41349,0.00202,9.68811
3870,0.15903,-0.30639,9.64401
3880,-0.14782,-0.47087,9.72498
3890,-0.48477,-0.36342,9.82203
3900,-0.69459,-0.05329,9.90918
3910,-0.39401,0.1969,10.03581
3920,0.28725,0.38413,9.91444
3930,0.59359,0.39119,9.81856
3940,0.50348,0.12086,9.66677
3950,0.28928,-0.15766,9.59342
3960,-0.02163,-0.43094,9.69935
3970,-0.37439,-0.4231,9.82711
3980,-0.66413,-0.22042,9.87231
3990,-0.55722,0.11175,9.97439
4000,0.02336,0.4034,9.98014
4010,0.53277,0.43434,9.81577
4020,0.57683,0.25625,9.77032
4030,0.34092,-0.09236,9.59944
4040,0.07477,-0.39033,9.69314
4050,-0.21438,-0.47221,9.77603
4060,-0.62025,-0.25252,9.87774
4070,-0.62864,0.00616,9.94282
4080,-0.14369,0.29046,9.99218
4090,0.44507,0.4528,9.88517
4100,0.61246,0.35607,9.78005
4110,0.41308,0.00564,9.64443
4120,0.20345,-0.25956,9.67781
4130,-0.14197,-0.47091,9.72071
4140,-0.53638,-0.32275,9.81717
4150,-0.70298,-0.11474,9.91354
4160,-0.37772,0.25905,9.94462
4170,0.22206,0.39012,9.9704
4180,0.61164,0.41133,9.82193
4190,0.48514,0.15136,9.71841
4200,0.28174,-0.15248,9.62749
4210,-0.01618,-0.39307,9.69023
4220,-0.35607,-0.3861,9.75558
4230,-0.66734,-0.15726,9.89398
4240,-0.51882,0.16746,9.97057
4250,0.04069,0.35955,9.96661
4260,0.53888,0.44201,9.83066
4270,0.60138,0.25394,9.7353
4280,0.32783,-0.11419,9.63439
4290,0.10262,-0.38013,9.68961
4300,-0.23941,-0.47171,9.78553
4310,-0.59375,-0.25228,9.84582
4320,-0.6063,0.05243,9.92334
4330,-0.15577,0.32257,9.99773
4340,0.40722,0.44772,9.94493
4350,0.58229,0.33698,9.80554
4360,0.41187,-0.00399,9.7055
4370,0.15646,-0.30991,9.60505
4380,-0.10514,-0.45011,9.71273
4390,-0.48491,-0.36329,9.86044
4400,-0.65546,-0.05203,9.93869
4410,-0.33332,0.19231,9.99998
4420,0.26728,0.40339,9.93401
4430,0.62197,0.42371,9.86497
4440,0.55339,0.14679,9.7405
4450,0.25756,-0.14033,9.61526
4460,0.01086,-0.39535,9.67285
4470,-0.41395,-0.38942,9.79061
4480,-0.64765,-0.21084,9.87835
4490,-0.55843,0.12187,10.0116
4500,0.01935,0.37976,9.95548
4510,0.53093,0.40719,9.85988
4520,0.56537,0.26191,9.69107
4530,0.34069,-0.06796,9.60929
4540,0.06035,-0.34201,9.67965
4550,-0.25896,-0.44337,9.73837
4560,-0.5734,-0.27909,9.8547
4570,-0.66413,0.01758,9.96873
4580,-0.15129,0.30875,9.94429
4590,0.42321,0.46539,9.88848
4600,0.6449,0.35238,9.80142
4610,0.4212,0.05841,9.71047
4620,0.15089,-0.23715,9.60427
4630,-0.15321,-0.42432,9.69922
4640,-0.52886,-0.3882,9.83668
4650,-0.66987,-0.12278,9.9076
4660,-0.39553,0.19382,10.03292
4670,0.28732,0.42123,9.8985
4680,0.62999,0.4136,9.83012
4690,0.49933,0.14929,9.70676
4700,0.29795,-0.16708,9.58596
4710,0.02823,-0.40563,9.66251
4720,-0.3861,-0.38712,9.73699
4730,-0.67473,-0.16686,9.87285
4740,-0.55731,0.12512,10.0029
4750,0.04021,0.36741,9.94106
4760,0.56167,0.40735,9.85319
4770,0.59111,0.27102,9.68734
4780,0.32171,-0.05913,9.67399
4790,0.06511,-0.31752,9.66814
4800,-0.23831,-0.39833,9.78041
4810,-0.62369,-0.25953,9.83204
4820,-0.66529,0.01969,9.96736
4830,-0.17551,0.31622,9.98079
4840,0.39059,0.40878,9.94849
4850,0.64593,0.34729,9.78552
4860,0.44943,0.02173,9.70087
4870,0.15208,-0.28458,9.61952
4880,-0.10064,-0.40887,9.65347
4890,-0.50713,-0.32976,9.79647
4900,-0.71838,-0.11356,9.98498
4910,-0.33091,0.23424,9.96212
4920,0.26724,0.43833,9.96125
4930,0.5902,0.36561,9.8279
4940,0.54413,0.18124,9.68693
4950,0.30267,-0.17827,9.6528
4960,0.01255,-0.41623,9.6353
4970,-0.35434,-0.37231,9.74811
4980,-0.64456,-0.18374,9.90495
4990,-0.5257,0.14186,10.03185
5000,0.05537,0.37842,9.95102
5010,0.57635,0.44878,9.8898
5020,0.59987,0.24928,9.77608
5030,0.39791,-0.06419,9.66243
5040,0.11371,-0.3291,9.60981
5050,-0.26179,-0.4645,9.77291
5060,-0.59274,-0.30296,9.84331
5070,-0.67805,0.03785,10.01787
5080,-0.17148,0.29516,10.01963
5090,0.39631,0.47116,9.85697
5100,0.58371,0.33826,9.80298
5110,0.48067,0.05556,9.68297
5120,0.21153,-0.26302,9.6591
5130,-0.1371,-0.4378,9.70016
5140,-0.51794,-0.38629,9.79039
5150,-0.68823,-0.11123,9.96407
5160,-0.3299,0.20487,10.02058
5170,0.21856,0.41999,9.89357
5180,0.58373,0.40645,9.7914
5190,0.49611,0.16518,9.72722
5200,0.30427,-0.19099,9.63818
5210,-0.03944,-0.4043,9.6483
5220,-0.34039,-0.42665,9.74954
5230,-0.67555,-0.15661,9.92156
5240,-0.50221,0.16555,9.94944
5250,0.00845,0.38148,9.91629
5260,0.54242,0.42633,9.88389
5270,0.59892,0.22295,9.68066
5280,0.39786,-0.06893,9.631
5290,0.08338,-0.37815,9.67691
5300,-0.27941,-0.40463,9.70706
5310,-0.64838,-0.2879,9.89596
5320,-0.60692,0.05328,10.01565
5330,-0.12837,0.31187,9.97483
5340,0.45448,0.43777,9.90267
5350,0.58712,0.29398,9.75213
5360,0.46947,0.04395,9.68769
5370,0.22124,-0.27184,9.64493
5380,-0.08307,-0.4732,9.73339
5390,-0.48742,-0.36866,9.85102
5400,-0.68295,-0.09652,9.89536
5410,-0.35901,0.23333,10.03848
5420,0.22835,0.40615,9.94186
5430,0.62195,0.42797,9.7808
5440,0.53745,0.10972,9.64322
5450,0.25187,-0.18739,9.67527
5460,-0.03416,-0.3774,9.71558
5470,-0.40291,-0.40692,9.76841
5480,-0.66726,-0.22273,9.86559
5490,-0.53212,0.13483,9.98902
5500,0.01081,0.36541,9.99081
5510,0.51314,0.44186,9.89949
5520,0.5979,0.24142,9.71725
5530,0.33584,-0.04242,9.62563
5540,0.10711,-0.3488,9.62096
5550,-0.26671,-0.40061,9.76376
5560,-0.62543,-0.28729,9.91955
5570,-0.66136,0.05784,10.01971
5580,-0.14518,0.28594,9.98881
5590,0.44859,0.40742,9.85409
5600,0.58781,0.35772,9.79533
5610,0.47703,0.02874,9.66568
5620,0.22374,-0.27495,9.59218
5630,-0.13999,-0.43794,9.65894
5640,-0.4756,-0.39887,9.86317
5650,-0.72286,-0.11292,9.94058
5660,-0.38918,0.22734,10.01087
5670,0.28777,0.40379,9.97939
5680,0.61442,0.40249,9.79129
5690,0.52942,0.17916,9.66045
5700,0.30657,-0.1837,9.67344
5710,0.0026,-0.41266,9.71057
5720,-0.40629,-0.45154,9.7929
5730,-0.64592,-0.19384,9.88989
5740,-0.55761,0.1362,9.98484
5750,0.05821,0.41481,9.93107
5760,0.56976,0.40937,9.89106
5770,0.57053,0.25823,9.76008
5780,0.34355,-0.04239,9.66811
5790,0.07216,-0.31418,9.59491
5800,-0.22909,-0.39831,9.75467
5810,-0.5767,-0.26177,9.85179
5820,-0.63295,0.00867,9.93962
5830,-0.18482,0.29136,9.9739
5840,0.40978,0.41127,9.87756
5850,0.60146,0.36578,9.79587
5860,0.43467,0.00792,9.62753
5870,0.14799,-0.29266,9.64884
5880,-0.14703,-0.43965,9.6842
5890,-0.53532,-0.38832,9.78023
5900,-0.65675,-0.06194,9.98469
5910,-0.3351,0.25847,10.02619
5920,0.21709,0.43465,9.93698
5930,0.61309,0.391,9.78252
5940,0.49305,0.18344,9.67125
5950,0.28415,-0.17888,9.66733
5960,0.02073,-0.40685,9.62846
5970,-0.3468,-0.42914,9.82905
5980,-0.65596,-0.19262,9.92077
5990,-0.52794,0.12748,9.96048
